Region_name,District,HR_info_district_name,REGN_NO,DIST_NO,Sector,Activity_type,Organisation,Activity,Start_date,End_date
Woqooyi Galbeed,Gabiley,Gabiley,12,1202,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Mudug,Gaalkacyo,Galkaacyo,18,1801,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Gedo,Garbaharey,Garbahaarey,26,2605,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bari,Qardho,Qardho,16,1604,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Nugaal,Garowe,Garowe,17,1703,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Mudug,Galdogob,Galdogob,18,1802,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Woqooyi Galbeed,Hargeysa,Hargeysa,12,1203,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Mudug,Hobyo,Hobyo,18,1804,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bakool,Hudur,Xudur,25,2502,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bari,Iskushuban,Iskushuban,16,1605,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Hiraan,Jalalaqsi,Jalalaqsi,20,2003,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Lower Juba,Jamaame,Jamaame,28,2803,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Mudug,Jariiban,Jariiban,18,1805,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Middle Juba,Jilib,Jilib,27,2702,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Middle shabelle,Jowhar,Jowhar,21,2103,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
,Kandala,Qandala,16,1605,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Lower Juba,Kismayo,Kismayo,28,2804,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Sanaag,Las Khorey,Laasqoray,15,1503,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Sool,Lasanod,Laas Caanood,14,1403,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Awdal,Lughaye,Lughaye,11,1103,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Gedo,Luuq,Luuq,26,2606,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Lower Shebelle,Marka,Marka,23,2304,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Benadir,Mogadishu,Mogadishu,22,2201,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Togdheer,Owdweyne,Owdweyne,13,1303,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bay,Qansah Dere,Qansax Dheere,24,2404,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bakool,Rab Dhuure,Rab Dhuure,25,2503,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Lower Shebelle,Sablale,Sablaale,23,2306,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Middle Juba,Sakow,Saakow,27,2703,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Togdheer,Sheikh,Sheikh,13,1304,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Sool,Taleh,Taleex,14,1404,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Bakool,Waajid,Waajid,25,2505,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Lower Shebelle,Wanla Weyne,Wanle Weyne,23,2307,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
sool,Xudun,Xudun,14,1402,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Awdal,Zeylac,Zeylac,11,1104,Protection,DDG - Community Safety programme,Danish Refugee Council (DRC),"The Danish Demining Group (DDG - part of DRC) has implemented community safety activities in Somaliland since 2008 and in Puntland and SC Somalia since 2010. These activities are based on a Ôpeople centeredÕ approach, supporting the community members to identify and address their own safety & security issues. DDG supports: Local capacity building, small arms management, conflict management and peace, mine action, improved relationship between the formal security provide",04-01-2008,08-01-2015
Mudug,Gaalkacyo,Galkaacyo,18,1801,Protection,Integration of Psychosocial Support Framework to Facilitate Access to Education & Health Care,Group for Transcultural Relationships (GRT),"Funded by UNHCR - This project aims at responding to the needs of asylum seekers and refugees across Puntland by building a integrated psychosocial support framework that develops around the facilitation of access to medical services and education opportunities (understood as formal, non-formal and trainings). GRTÕs intervention aspires to address asylum seeking and refugee communitiesÕ complex needs in Bosaso, Garowe and Galkayo in an integrated way by focusing on their psychosocial well being.",01-01-2011,12-01-2011
Nugaal,Garowe,Garowe,17,1703,Protection,Integration of Psychosocial Support Framework to Facilitate Access to Education & Health Care,Group for Transcultural Relationships (GRT),"Funded by UNHCR - This project aims at responding to the needs of asylum seekers and refugees across Puntland by building a integrated psychosocial support framework that develops around the facilitation of access to medical services and education opportunities (understood as formal, non-formal and trainings). GRTÕs intervention aspires to address asylum seeking and refugee communitiesÕ complex needs in Bosaso, Garowe and Galkayo in an integrated way by focusing on their psychosocial well being.",01-01-2011,12-01-2011
Mudug,Galdogob,Galdogob,18,1802,Protection,Integration of Psychosocial Support Framework to Facilitate Access to Education & Health Care,Group for Transcultural Relationships (GRT),"Funded by UNHCR - This project aims at responding to the needs of asylum seekers and refugees across Puntland by building a integrated psychosocial support framework that develops around the facilitation of access to medical services and education opportunities (understood as formal, non-formal and trainings). GRTÕs intervention aspires to address asylum seeking and refugee communitiesÕ complex needs in Bosaso, Garowe and Galkayo in an integrated way by focusing on their psychosocial well being.",01-01-2011,12-01-2011
Nugaal,Garowe,Garowe,17,1703,Protection,Protection of the rights of children affected by the armed conflict in Somaliland and Puntland,Group for Transcultural Relationships (GRT),"Funded by EC - Implemented by CESVI (leading agency) and GRT (partner). The project focuses on the establishment of specific measures covering three different dimensions. At institutional/political level, a multifaceted network will be established as a child rightsÕ mechanism for protection, monitoring and reporting, and to enhance the formal adoption of relevant international legislation. At technical level, will set up a capillary territorial system of social workers and psychosocial centers",03-01-2010,02-01-2012
Mudug,Gaalkacyo,Galkaacyo,18,1801,Protection,Psychosocial support for Gender Based and Sexual ViolenceÕs survivors,Group for Transcultural Relationships (GRT),Funded by Italian Cooperation Overall Objective:to enhance the resilience of both the IDPs population and the host communities in Galkayo District. Specific Objective: To provide psychosocial support to the survivors of gender-based and sexual violence by ensuring the community involvement as well as the training of local actors.,07-01-2011,01-01-2012
Mudug,Galdogob,Galdogob,18,1802,Protection,Psychosocial support for Gender Based and Sexual ViolenceÕs survivors,Group for Transcultural Relationships (GRT),Funded by Italian Cooperation Overall Objective:to enhance the resilience of both the IDPs population and the host communities in Galkayo District. Specific Objective: To provide psychosocial support to the survivors of gender-based and sexual violence by ensuring the community involvement as well as the training of local actors.,07-01-2011,01-01-2012
Mudug,Gaalkacyo,Galkaacyo,18,1801,Protection,Strengthening local communities coping mechanisms through integrated protection programmes,Group for Transcultural Relationships (GRT),"Funded by UNHCR - The proposed project aims at improving the PSYCHOSOCIAL WELL-BEING of vulnerable groups amongst the IDPs, migrants and hosting communities in Bosaso and Garowe, Puntland. The project will sustain the above mentioned vulnerable groups through holistic psychosocial support programmes, tailored on the different beneficiariesÕ needs. On the basis of their psychosocial needs, the beneficiaries will be included in a holistic psychosocial rehabilitation programme.",01-01-2011,12-01-2011
Nugaal,Garowe,Garowe,17,1703,Protection,Strengthening local communities coping mechanisms through integrated protection programmes,Group for Transcultural Relationships (GRT),"Funded by UNHCR - The proposed project aims at improving the PSYCHOSOCIAL WELL-BEING of vulnerable groups amongst the IDPs, migrants and hosting communities in Bosaso and Garowe, Puntland. The project will sustain the above mentioned vulnerable groups through holistic psychosocial support programmes, tailored on the different beneficiariesÕ needs. On the basis of their psychosocial needs, the beneficiaries will be included in a holistic psychosocial rehabilitation programme.",01-01-2011,12-01-2011
Mudug,Galdogob,Galdogob,18,1802,Protection,Strengthening local communities coping mechanisms through integrated protection programmes,Group for Transcultural Relationships (GRT),"Funded by UNHCR - The proposed project aims at improving the PSYCHOSOCIAL WELL-BEING of vulnerable groups amongst the IDPs, migrants and hosting communities in Bosaso and Garowe, Puntland. The project will sustain the above mentioned vulnerable groups through holistic psychosocial support programmes, tailored on the different beneficiariesÕ needs. On the basis of their psychosocial needs, the beneficiaries will be included in a holistic psychosocial rehabilitation programme.",01-01-2011,12-01-2011
Mudug,Gaalkacyo,Galkaacyo,18,1801,Protection,Strengthening Response Mechanisms for High-Risk Groups and Survivors of Gender-Based Violence,Group for Transcultural Relationships (GRT),"Beneficiaries receive an integrated psychosocial support. The variety of responses needed are identified on the basis of the outcomes of an initial psychosocial assessment. The survivor is then accompanied through the referral pathway: counselling sessions, family and/or community mediations, medical referral (survivors within 72 hours will receive a priority reference, referral for protection issues, reintegration in socio-educational activities.",07-01-2011,01-01-2012
Mudug,Galdogob,Galdogob,18,1802,Protection,Strengthening Response Mechanisms for High-Risk Groups and Survivors of Gender-Based Violence,Group for Transcultural Relationships (GRT),"Beneficiaries receive an integrated psychosocial support. The variety of responses needed are identified on the basis of the outcomes of an initial psychosocial assessment. The survivor is then accompanied through the referral pathway: counselling sessions, family and/or community mediations, medical referral (survivors within 72 hours will receive a priority reference, referral for protection issues, reintegration in socio-educational activities.",07-01-2011,01-01-2012
Woqooyi Galbeed,Hargeysa,Hargeysa,12,1203,Protection,Improving capacity and advocacy skills of NSAs and public sector authorities in Somalia,Group for Transcultural Relationships (GRT),"Funded by EC - The proposed intervention aims at reaching and engaging with different strategies 3 sets of target groups (Somali Non State Actors, Somali Public Health Local Authorities and Somali Mental Health Workforce) and one main category of final beneficiaries (MH patients). Thus, it will be shown in the proposal design, the engagement of the different target groups and the social impact on their wellbeing are closely interlinked by the project implementation.",02-01-2011,02-01-2013
Middle shabelle,Jowhar,Jowhar,21,2103,Health,Emergency support to HC,Intersos Humanitarian Aid Organisation,"Budget: 209,297.00 USD Donor: UN/OCHA Beneficiaries: 250,000",05-01-2011,12-01-2011
Bay,Baidoa,Baidoa,24,2401,WASH,Emergency respons in SCZ,Intersos Humanitarian Aid Organisation,"Budget: 176,400.00 EUR Donor: AGIRE Beneficiaries: 275,827",08-01-2011,11-01-2011
Lower Shebelle,Afgoye,Afgooye,23,2301,WASH,Emergency respond for IDP in Afgoye and Mogadishu,Intersos Humanitarian Aid Organisation,"Budget: 319,300.00 EUR Donor: Italian Cooperation Beneficiaries: 59,800",07-01-2011,12-01-2011
Bay,Baidoa,Baidoa,24,2401,Protection,Family traching and Reiunification system for IDPs,Intersos Humanitarian Aid Organisation,"Budget: 114,856.00 USD Donor: ERF Beneficiaries: 40,000",09-01-2011,01-01-2012
Middle shabelle,Jowhar,Jowhar,21,2103,Nutrition,Reduce morbidity and mortality of children U5,Intersos Humanitarian Aid Organisation,"Budget: 324,576.20 USD Donor: UNICEF Beneficiaries: 45,723",06-01-2011,05-01-2013
Middle shabelle,Jowhar,Jowhar,21,2103,Health,Support to Jowhar Regional Hospital,Intersos Humanitarian Aid Organisation,"Budget: 482,173.00 USD Donor: UNOPS Beneficiaries: 98,000",02-01-2010,10-01-2011
Middle shabelle,Jowhar,Jowhar,21,2103,Nutrition,Blanket Feeding distribution,Intersos Humanitarian Aid Organisation,"Budget: 132,508.00 USD Donor: UNICEF Beneficiaries: 275,827",10-01-2011,04-01-2012
Lower Shebelle,Afgoye,Afgooye,23,2301,Shelter/NFIs,Provision of emergency relief to new IDPs displaced to Baidoa town and to Afgooye corridor,Intersos Humanitarian Aid Organisation,"Budget: 445,387.00 USD Donor: ERF Beneficiaries: 50,190",08-01-2011,02-01-2012
Middle shabelle,Jowhar,Jowhar,21,2103,Food security,Community based livelihood activities in SCZ,Intersos Humanitarian Aid Organisation,"Budget: 591,887.40 USD Donor: UNHCR Beneficiaries: 63,000",01-01-2011,12-01-2011
Middle shabelle,Jowhar,Jowhar,21,2103,Health,Strengthening TB Control,Intersos Humanitarian Aid Organisation,"Budget: 79,651.00 USD Donor: World Vision Beneficiaries: 98,000",04-01-2011,03-01-2012
Lower Shebelle,Afgoye,Afgooye,23,2301,Protection,GBV Prevention in Central Somalia,Intersos Humanitarian Aid Organisation,"Budget: 43,035.00 USD Donor: UNFPA Beneficiaries: 47,548",09-01-2011,12-01-2011
Middle shabelle,Jowhar,Jowhar,21,2103,Nutrition,Emergency nutrition intervention,Intersos Humanitarian Aid Organisation,"Budget: 213,046.00 USD Donor: UN/OCHA Beneficiaries: 5,300",06-01-2011,12-01-2011
Middle Shebelle,Adale,Cadale,21,2004,Health,"Provision of emergency primary and secondary health integrated services, including GBV prevention an",Intersos Humanitarian Aid Organisation,"The objective of this project is the provision of integrated life-saving assistance to the population of Middle Shabelle through an integrated approach, based on impartiality and independence, which will have as core strategy the provision of primary and secondary health services, integrated by components of nutrition, WASH and protection.Within this Action ECHO will support the continuity and efficiency of INTERSOS activities at Jowhar Regional Hospital, and 5 primary health posts. The purpose of the project is the delivery of essential services and the strengthening of the regional health system as a whole, in order to provide the basis for sustainability of the regional health system network and to improve emergency preparedness and disaster risk reduction in response to regional crises.This action will particularly focus also on the protection of GBV survivors, through 
targeted prevention and response actions to GBV, including Clinical Management of Rape at facility level and establishment of additional specific referral mechanisms.",04-01-2013,04-01-2014
Middle Shebelle,Balad,Balcad,21,2102,Health,"Provision of emergency primary and secondary health integrated services, including GBV prevention an",Intersos Humanitarian Aid Organisation,"The objective of this project is the provision of integrated life-saving assistance to the population of Middle Shabelle through an integrated approach, based on impartiality and independence, which will have as core strategy the provision of primary and secondary health services, integrated by components of nutrition, WASH and protection.Within this Action ECHO will support the continuity and efficiency of INTERSOS activities at Jowhar Regional Hospital, and 5 primary health posts. The purpose of the project is the delivery of essential services and the strengthening of the regional health system as a whole, in order to provide the basis for sustainability of the regional health system network and to improve emergency preparedness and disaster risk reduction in response to regional crises.This action will particularly focus also on the protection of GBV survivors, through 
targeted prevention and response actions to GBV, including Clinical Management of Rape at facility level and establishment of additional specific referral mechanisms.",04-01-2013,04-01-2014
Middle shabelle,Jowhar,Jowhar,21,2103,Health,"Provision of emergency primary and secondary health integrated services, including GBV prevention an",Intersos Humanitarian Aid Organisation,"The objective of this project is the provision of integrated life-saving assistance to the population of Middle Shabelle through an integrated approach, based on impartiality and independence, which will have as core strategy the provision of primary and secondary health services, integrated by components of nutrition, WASH and protection.Within this Action ECHO will support the continuity and efficiency of INTERSOS activities at Jowhar Regional Hospital, and 5 primary health posts. The purpose of the project is the delivery of essential services and the strengthening of the regional health system as a whole, in order to provide the basis for sustainability of the regional health system network and to improve emergency preparedness and disaster risk reduction in response to regional crises.This action will particularly focus also on the protection of GBV survivors, through 
targeted prevention and response actions to GBV, including Clinical Management of Rape at facility level and establishment of additional specific referral mechanisms.",04-01-2013,04-01-2014
Middle shabelle,Jowhar,Jowhar,21,2103,Health,Emergency lifesaving health response in support IDPs andhost communities affected by flood and confl,Intersos Humanitarian Aid Organisation,"Jowhar District is experiencing severe displacement due to one of the most violent floods of the last years and an ongoingconflict that severelyimpacted on the already unstable status,in terms ofhealth/nutrition,of the region.Approx 22357HH have been displaced in 35villages around Jowharby the floods or the ongoingconflict.The health situation in the district has deteriorated greatly.A series of multiple-organization joint Clustersassessments,led by INTERSOS, have beenconducted during the month of November with participation of a MoHrepresentative.According to theassessment the flooding,started late October2013 and spread around dozens of villages in the region including Jowhar,has destroyed thousandshectares of farming land and has inundated whole villages.Thousands of people are still stranded around severalriverside villages with no propershelters,food and drinkable water.The flood has created access constraint by cutting the main roads that link to the capital and other major townsmaking impossible the access to any healthservice.The most common causes of morbidity in the area are AWD,suspected malaria, pneumonia andmalnutrition and the closest health facilities are those located in Jowhar Town and Hawadley.The proposed project intends to respond to the urgentneeds,in terms of healthcare coverage,through the provision of temporary primary health services integrated with components ofhealth/nutrition/hygiene promotion and epidemic outbreak risk reduction",12-01-2013,07-01-2014
Bay,Baidoa,Baidoa,24,2401,"MultiSectoral (Wash, Health, Livelihoods)","Way Station, Baidoa, Bay Region",Intersos Humanitarian Aid Organisation,"The project will provide reception and basic return assistance with a Way Station established in the town of Baidoa. The Way Station will provide repatriation assistance (in accordance with a defined package) to refugees returnees pending the establishment of more permanent Transit Centres by UNHCR. Each Way Station will have a capacity of 100 persons per day.

The Way stations will have the following functions:

a) Reception and verification of bio data of returnees 
b) Basic assistance (water, sanitation, overnight facility, meals, emergency medical assistance by referral) to new arrivals and accommodation (maximum duration 1 day, with possible extension on ad hoc basis for extremely vulnerable individuals).
c) Provide information on assistance available specific to the district of return including transport options, security on route, Mine Risk Education, back to school campaign, humanitarian organizations/service providers. Specific Information dissemination on the area of return of concern, conditions along primary access routes, services available (education, health, etc), security, risk mitigation measures
d) First point of contact to the returnees with National authorities in Somalia 
e) Referral to appropriate administrative authorities",01-01-2014,04-01-2014
